age,income,expenses,savings,debt,risk_tolerance,savings_rate,expense_ratio,debt_ratio,financial_segment,risk_encoded,cluster
50,74813,88822,66610,11989,Low,0.8903532808469117,1.1872535521901273,0.1602528972237445,High Saver,0,2
36,67198,20901,6401,13780,High,0.0952558111848567,0.3110360427393672,0.2050656269531831,Low Saver,2,1
29,38820,46552,20193,6589,Medium,0.5201700154559505,1.1991756826378157,0.16973209685729,High Saver,1,0
42,54070,46055,49864,34812,Low,0.9222119474754948,0.8517662289624561,0.6438320695394858,High Saver,0,2
40,99768,52685,25307,28128,Medium,0.2536584876914441,0.5280751343116029,0.2819340870820303,Medium Saver,1,0
44,41122,88965,24611,45939,Medium,0.598487427654297,2.1634404941393903,1.1171392442001848,High Saver,1,0
32,110559,29716,48791,38652,Low,0.4413118787253864,0.2687795656617733,0.3496051881800667,High Saver,0,1
32,103543,26138,16950,27790,Medium,0.1637001052702741,0.2524361859324145,0.2683909100566914,Low Saver,1,1
45,113441,50298,7745,40953,High,0.0682733755873097,0.4433846669193678,0.3610070433088566,Low Saver,2,0
57,71786,66112,60243,249,Low,0.8392026300392834,0.9209595185690804,0.0034686429108739,High Saver,0,2
45,124934,38429,8866,19309,High,0.0709654697680375,0.3075944098484,0.154553604303072,Low Saver,2,1
24,129804,65200,37245,25901,Medium,0.2869326060830174,0.5022957690055776,0.1995393054143169,Medium Saver,1,0
43,36737,86308,49724,23576,Low,1.3535128072515448,2.349348068704576,0.6417508234205297,,0,2
23,66062,63244,76354,31508,Low,1.1557930428990948,0.9573431019345464,0.4769458993067119,,0,2
45,84237,32347,56374,9175,Low,0.6692308605482151,0.3839999050298562,0.10891888362596,High Saver,0,1
51,81571,31920,35116,25464,Medium,0.4304961322038469,0.3913155410623873,0.3121697662159345,High Saver,1,1
59,55510,46822,25447,16260,Medium,0.4584219059628895,0.8434876598811025,0.2929201945595388,High Saver,1,0
23,49426,61659,35431,35440,Medium,0.7168494314733136,1.247501315097317,0.71703152187108,High Saver,1,0
42,67265,55108,22908,29546,Medium,0.3405634430981937,0.8192670779751728,0.4392477514309076,Medium Saver,1,0
54,47850,22967,34336,40047,Medium,0.7175757575757575,0.4799791013584117,0.8369278996865204,High Saver,1,0
33,148249,26871,45992,41430,Low,0.3102348076546891,0.1812558600732551,0.2794622560691809,Medium Saver,0,1
43,96150,89270,60350,1987,Low,0.6276651066042642,0.9284451378055122,0.020665626625065,High Saver,0,2
46,117312,48613,74561,49242,Low,0.6355786279323513,0.41439068466994,0.4197524549918167,High Saver,0,2
48,119613,43179,56955,25105,Low,0.4761606179930275,0.3609891901381957,0.2098852131457283,High Saver,0,1
49,104910,67188,66240,12948,Low,0.6313983414355162,0.6404346582785244,0.1234200743494423,High Saver,0,2
37,82375,70099,25093,13026,Medium,0.3046191198786039,0.8509742033383915,0.1581305007587253,Medium Saver,1,0
36,65435,50262,11155,2773,High,0.1704745166959578,0.7681210361427371,0.0423779322992282,Low Saver,2,0
24,126443,33268,51607,45927,Low,0.4081443812627033,0.2631066962979366,0.3632229542165244,High Saver,0,1
58,87132,75545,38487,9878,Medium,0.4417091309736951,0.8670178579626314,0.113368222926135,High Saver,1,0
28,108945,87146,60668,42946,Low,0.5568681444765707,0.799908210564964,0.3941989077057231,High Saver,0,2
42,112050,86966,25963,10377,Medium,0.2317090584560464,0.7761356537260151,0.0926104417670682,Medium Saver,1,0
